ネスト琵琶湖,,,,13800,128000,118000,108000,98000,,,,,,,,,,13800,128000,118000,108000,98000,,,,,,,,,,,,,,,13800,128000,118000,108000,98000,,,,,,
,,,,SS,S,A,B,C,,,,,,,,,,SS,S,A,B,C,,,,,,,,,,,,,,,SS,S,A,B,C,,,,,,
2026年1月,,,,,,,,2026年2月,,,,,,,,2026年3月,,,,,,,,2026年4月,,,,,,,,2026年5月,,,,,,,,2026年6月,,,,,,,
日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,
,,,,1,2,3,,1,2,3,4,5,6,7,,1,2,3,4,5,6,7,,,,1,2,3,4,5,,,,,,,1,2,,,1,2,3,4,5,6,
,,,,128000,128000,128000,384000,78000,68000,68000,68000,68000,78000,88000,438000,78000,68000,68000,68000,68000,78000,88000,516000,,,88000,88000,88000,88000,88000,440000,,,,,,88000,128000,216000,,68000,68000,68000,68000,78000,88000,438000
4,5,6,7,8,9,10,,8,9,10,11,12,13,14,,8,9,10,11,12,13,14,,6,7,8,9,10,11,12,,3,4,5,6,7,8,9,,7,8,9,10,11,12,13,
78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,78000,68000,78000,88000,526000,78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,68000,68000,78000,88000,516000,128000,128000,128000,108000,78000,88000,98000,756000,78000,68000,68000,68000,68000,78000,88000,516000
11,12,13,14,15,16,17,,15,16,17,18,19,20,21,,15,16,17,18,19,20,21,,13,14,15,16,17,18,19,,10,11,12,13,14,15,16,,14,15,16,17,18,19,20,
88000,78000,68000,68000,68000,78000,88000,536000,78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,68000,78000,88000,88000,536000,78000,68000,68000,68000,68000,78000,88000,516000,88000,68000,68000,68000,68000,78000,88000,526000,78000,68000,68000,68000,68000,78000,88000,516000
18,19,20,21,22,23,24,,22,23,24,25,26,27,28,,22,23,24,25,26,27,28,,20,21,22,23,24,25,26,,17,18,19,20,21,22,23,,21,22,23,24,25,26,27,
78000,68000,68000,68000,68000,78000,88000,516000,88000,78000,68000,68000,68000,78000,88000,536000,88000,88000,88000,88000,88000,88000,88000,616000,78000,68000,68000,68000,68000,78000,128000,556000,78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,68000,68000,78000,88000,516000
25,26,27,28,29,30,31,,,,,,,,,,29,30,31,,,,,,27,28,29,30,,,,,24,25,26,27,28,29,30,,28,29,30,,,,,
78000,68000,68000,68000,68000,78000,88000,516000,,,,,,,,0,88000,88000,88000,,,,,264000,128000,88000,88000,88000,,,,392000,78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,,,,,214000
,,,,,,合計,2468000,,,,,,,合計,2016000,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,78000,,,,,,,78000 ,,,,,,,,0 
,,,,,,,,,,,,,,,,,,,,,,合計,2448000 ,,,,,,,合計,2420000 ,,,,,,,合計,2608000 ,,,,,,,合計,2200000 
,,,,,,平均,79613 ,,,,,,,平均,69517 ,,,,,,,平均,78968 ,,,,,,,平均,80667 ,,,,,,,平均,84129 ,,,,,,,平均,73333 
,,,,,,,875742 ,,,,,,,,764690 ,,,,,,,,1737290 ,,,,,,,,1129333 ,,,,,,,,1346065 ,,,,,,,,1246667 
,,,,,,,,,13800,128000,118000,108000,98000,,,,,,,,,,,,13800,128000,118000,108000,98000,,,,,,,,,,,,13800,128000,118000,108000,98000,,
,,,,,,,,,SS,S,A,B,C,,,,,,,,,,,,SS,S,A,B,C,,,,,,,,,,,,SS,S,A,B,C,,
2026年7月,,,,,,,,2026年8月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,,日,月,火,水,木,金,土,
,,,1,2,3,4,,,,,,,,1,,,1,2,3,4,5,6,,,,,1,2,3,4,,,,,,,,1,,,1,2,3,4,5,6,
,,,88000,88000,88000,118000,382000,,,,,,,128000,128000,88000,88000,88000,88000,88000,88000,118000,646000,,,,78000,78000,78000,118000,352000,,,,,,,88000,88000,,68000,68000,68000,68000,78000,88000,438000
5,6,7,8,9,10,11,,2,4,5,6,7,8,9,,7,8,9,10,11,12,13,,5,6,7,8,9,10,11,,2,3,4,5,6,7,8,,7,8,9,10,11,12,13,
88000,88000,88000,88000,88000,88000,118000,646000,118000,118000,118000,118000,118000,118000,128000,836000,88000,88000,88000,88000,88000,88000,118000,646000,88000,78000,78000,78000,78000,78000,118000,596000,88000,78000,68000,68000,68000,78000,88000,536000,78000,68000,68000,68000,68000,78000,88000,516000
12,13,14,15,16,17,18,,9,11,12,13,14,15,16,,14,15,16,17,18,19,20,,12,13,14,15,16,17,18,,9,10,11,12,13,14,15,,14,15,16,17,18,19,20,
118000,88000,88000,88000,88000,88000,118000,676000,128000,128000,128000,128000,128000,128000,128000,896000,118000,88000,88000,88000,88000,88000,118000,676000,118000,88000,78000,78000,78000,78000,88000,606000,78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,68000,68000,78000,88000,516000
19,20,21,22,23,24,25,,16,18,19,20,21,22,23,,21,22,23,24,25,26,27,,19,20,21,22,23,24,25,,16,17,18,19,20,21,22,,21,22,23,24,25,26,27,
118000,118000,118000,118000,118000,118000,118000,826000,128000,108000,108000,108000,108000,108000,118000,786000,88000,88000,88000,88000,88000,88000,118000,646000,78000,78000,78000,78000,78000,78000,88000,556000,78000,68000,68000,68000,68000,78000,88000,516000,78000,68000,68000,68000,68000,78000,88000,516000
26,27,28,29,30,31,,,23,25,26,27,28,29,30,,28,29,30,,,,,,26,27,28,29,30,31,,,23,24,25,26,27,28,29,,28,29,30,31,,,,
118000,118000,118000,118000,118000,118000,,708000,108000,98000,98000,98000,98000,108000,118000,726000,88000,88000,88000,,,,,264000,78000,78000,78000,78000,78000,78000,,468000,88000,68000,68000,68000,68000,78000,88000,526000,128000,128000,128000,128000,,,,512000
,,,,,,,,30,31,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
,,,,,,,0 ,108000,98000,,,,,,206000 ,,,,,,,,0 ,,,,,,,,,78000,,,,,,,,,,,,,,,
,,,,,,合計,3238000 ,,,,,,,合計,3578000 ,,,,,,,合計,2878000 ,,,,,,,合計,2578000 ,,,,,,,合計,2182000 ,,,,,,,合計,2498000 
,,,,,,平均,104452 ,,,,,,,平均,115419 ,,,,,,,平均,95933 ,,,,,,,平均,83161 ,,,,,,,平均,72733 ,,,,,,,平均,80581 
,,,,,,,2089032 ,,,,,,,,2423806 ,,,,,,,,1247133 ,,,,,,,,997935 ,,,,,,,,1163733 ,,,,,,,,966968 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,50%,プラス1,17808395 ,,60%,,21370074.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,原案,15988395 ,,,,19186074.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,マイナ1,14168395 ,,,,17002074.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
バックデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,プラン,6名,5名,4名,3名,2名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
料金表,1,138000,23000,27600,34500,46000,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,128000,21300,25600,32000,42600,64000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,118000,19600,23600,29500,39300,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,108000,18000,21600,27000,36000,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,98000,16300,19600,24500,32600,49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,88000,14600,17600,22000,29300,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,78000,13000,15600,19500,26000,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,68000,11300,13600,17000,22600,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,58000,9600,11600,14500,19300,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,